"x"	"y"	"category"
"175"	"50,3334811097"	43.588671479	"4"
"176"	"50,4467514196"	57.2305889423	"4"
"177"	"50,4209091963"	43.3479568967	"4"
"178"	"50,3740520508"	32.9182406167	"4"
"179"	"30,4768299051"	39.4246055913	"4"
"180"	"30,5034743497"	38.3485561381	"4"
"181"	"30,5048349283"	28.7714879939	"4"
"182"	"30,4622184647"	32.7504720275	"4"
"183"	"30,491302622"	43.5613740753	"4"
"184"	"30,449653838"	44.9951230008	"4"
"185"	"30,4859942157"	47.3479464653	"4"
"186"	"30,5020767935"	36.4412129198	"4"
"187"	"30,4780588886"	28.020580489	"4"
"188"	"30,5011608787"	38.3141385582	"4"
"189"	"30,5047730174"	26.4166256707	"4"
"190"	"30,509115326"	22.8255471196	"4"
"191"	"50,1156321728"	16.6940065479	"4"
"192"	"50,4483013392"	21.6402564599	"4"
"193"	"50,17317743"	29.177864393	"4"
"194"	"49,9227419194"	38.4404729124	"4"
"195"	"50,3112993746"	26.8604882737	"4"
"196"	"50,3994096114"	38.9638389234	"4"
"197"	"50,3373626448"	40.913386144	"4"
"198"	"50,2023180965"	47.2129480045	"4"
"199"	"50,2749326091"	49.6234993439	"4"
"200"	"69,4943803061"	52.6124107059	"4"
"201"	"69,5193397556"	47.384533707	"4"
"202"	"69,5291826079"	57.8412666804	"4"
"203"	"69,495755496"	58.785073162	"4"
"204"	"69,199057706"	60.4189573202	"4"
"205"	"69,5510914402"	58.4010982686	"4"
"206"	"69,5066843151"	68.0844667893	"4"
"207"	"50,4441175504"	75.0132995059	"4"
"208"	"50,4672293846"	90.281464505	"4"
"209"	"50,210881979"	80.9417717084	"4"
"210"	"50,205406955"	90.6405359009	"4"
"211"	"50,4382906648"	92.3547602661	"4"
"212"	"50,3735188462"	82.2192057218	"4"
"213"	"50,253683689"	81.7438287242	"4"
"214"	"50,2504708592"	71.9513852104	"4"
"215"	"50,0870583609"	73.9518736268	"4"
"216"	"50,2310718829"	80.6473870602	"4"
"217"	"50,2077411201"	73.1145035177	"4"
"218"	"30,4995061735"	53.6125276703	"4"
"219"	"30,5203612407"	65.1004090686	"4"
"220"	"30,4549558873"	63.5017787814	"4"
"221"	"50,4164772292"	97.2696919618	"4"
"222"	"69,5250693831"	93.5980502089	"4"
"223"	"69,5202566002"	97.1938760167	"4"
"224"	"69,4989700668"	92.1204899292	"4"
"225"	"69,5286156637"	91.6220882409	"4"
"226"	"69,4997669273"	84.47968329	"4"
"227"	"69,5038013697"	81.8154056166	"4"
"228"	"69,4875893963"	81.8359875567	"4"
"229"	"69,5191157281"	71.1159672213	"4"
"230"	"69,5043762947"	70.4934438205	"4"
"231"	"69,5125730109"	61.497563947	"4"
"232"	"89,4942005622"	62.2343269676	"4"
"233"	"89,5001240511"	53.2163306165	"4"
"234"	"89,490246254"	48.890796551	"4"
"235"	"89,49778562"	46.6299066746	"4"
"236"	"89,5048511306"	48.4234081578	"4"
"237"	"89,5010526463"	43.3473436951	"4"
"238"	"89,4888412549"	40.6250912209	"4"
"239"	"89,5016235276"	45.8151791904	"4"
"240"	"89,497529662"	33.901372671	"4"
"241"	"50,4390920216"	37.670771798	"4"
"242"	"50,179850128"	36.8075593352	"4"
"243"	"69,5050706711"	33.7401525035	"4"
"244"	"69,5798670452"	21.9352367455	"4"
"245"	"69,5064719492"	22.7286628748	"4"
"246"	"69,4994788728"	16.3374699821	"4"
"247"	"69,500264751"	27.1360239942	"4"
"248"	"69,5041565157"	23.6689181006	"4"
"249"	"69,5322795847"	21.8509008151	"4"
"250"	"69,5001114942"	11.7916260054	"4"
"251"	"69,5048154243"	15.6143582625	"4"
"252"	"69,5034745234"	17.1690897689	"4"
"253"	"50,3774019862"	16.5060150613	"4"
"254"	"50,3394254813"	18.7234506861	"4"
"255"	"50,0936501016"	11.6077134241	"4"
"256"	"49,9341271714"	22.2561397401	"4"
"257"	"50,2888186122"	13.436410466	"4"
"258"	"50,2879944267"	12.8722822086	"4"
"259"	"50,2347207"	20.4044729196	"4"
"260"	"50,2797016367"	15.608737571	"4"
"261"	"50,2530067222"	11.3020842468	"4"
"262"	"50,4741411162"	12.4619966676	"4"
"263"	"50,1084399725"	18.2590443442	"4"
"264"	"49,919058249"	3.7168538855	NA	"4"
"265"	"50,0836645085"	10.2358819024	"4"
"266"	"50,3522608355"	12.4686005273	"4"
"267"	"50,4975722411"	7.40962523419	"4"
"268"	"50,0163058346"	16.2536847911	"4"
"269"	"50,4682212165"	13.3567024555	"4"
"270"	"69,5506789842"	9.03298756904	"4"
"271"	"69,5186727475"	15.1804864298	"4"
"272"	"69,5034574098"	16.8783132661	"4"
"273"	"69,4994868291"	10.2078266798	"4"
"274"	"69,5275296829"	9.99229666551	"4"
"275"	"69,5190952617"	11.4226857018	"4"
"276"	"69,5618994268"	15.9998037858	"4"
"277"	"69,5010445197"	5.95583353945	"4"
"278"	"69,524635976"	2.73476016988	"4"
"279"	"30,4995937106"	26.0855615691	"4"
"280"	"30,487391709"	19.7794703733	"4"
"281"	"89,5001804719"	31.9789174357	"4"
"282"	"50,4102716314"	98.6283694405	"4"
"283"	"50,3259243927"	94.9946308528	"4"
"284"	"50,1040315041"	95.0885380179	"4"
"285"	"38,3377571839"	92.472719051	"2"
"286"	"35,7518707905"	94.1167680276	"2"
"287"	"32,7672179591"	88.5182945794	"2"
"288"	"33,7296067755"	88.622265789	"2"
"289"	"37,238249327"	83.7249284144	"2"
"290"	"36,0271982243"	82.0407806505	"2"
"291"	"39,2392807768"	79.2637238398	"2"
"292"	"39,7845249391"	82.2605658962	"2"
"293"	"35,1660293896"	84.1564919839	"2"
"294"	"40,622115916"	78.5421042089	"2"
"295"	"39,181907086"	79.8190371976	"2"
"296"	"42,4308889944"	75.1336346406	"2"
"297"	"43,0812558617"	75.3467016413	"2"
"298"	"44,3607194344"	70.4742070546	"2"
"299"	"44,3247788435"	71.0459044019	"2"
"300"	"47,552160202"	66.4604037217	"2"
"301"	"48,6649246215"	64.9610049438	"2"
"302"	"46,280631958"	68.0284231525	"2"
"303"	"50,5632444849"	62.6238279659	"2"
"304"	"52,6309642318"	59.9639357915	"2"
"305"	"54,6362064446"	57.4938424367	"2"
"306"	"51,346027139"	61.6005530364	"2"
"307"	"57,134855354"	53.8779658045	"2"
"308"	"54,1712415737"	58.0598078952	"2"
"309"	"50,9423823071"	62.0973939351	"2"
"310"	"66,512924456"	59.0712818478	"2"
"311"	"64,3979095023"	56.1748754008	"2"
"312"	"68,686593294"	62.2373439902	"2"
"313"	"65,0277937057"	57.0962573525	"2"
"314"	"53,3045031712"	40.883844549	"2"
"315"	"52,9451780881"	40.3846256942	"2"
"316"	"45,225738199"	30.5552259226	"2"
"317"	"50,8433046202"	37.7446280981	"2"
"318"	"49,6592939398"	36.273442735	"2"
"319"	"47,1427889348"	32.0250641734	"2"
"320"	"41,2700565259"	21.7218171465	"2"
"321"	"47,1301271555"	31.3099029222	"2"
"322"	"40,9159715783"	23.5415923929	"2"
"323"	"38,6601639737"	21.6895496369	"2"
"324"	"42,6125508262"	24.195053774	"2"
"325"	"41,2090395008"	24.1287091891	"2"
"326"	"50,6492211499"	37.4837907435	"2"
"327"	"52,1319019406"	39.3646020815	"2"
"328"	"39,7972712705"	16.083549649	"2"
"329"	"43,5498814807"	24.3072109395	"2"
"330"	"36,7146633371"	17.3818098572	"2"
"331"	"37,2246101278"	17.9800644828	"2"
"332"	"40,5124478537"	22.9622145725	"2"
"333"	"40,2220627884"	20.6146217044	"2"
"334"	"44,1249612057"	23.3662452858	"2"
"335"	"42,3462616039"	24.5583269437	"2"
"336"	"44,1890843708"	28.772625473	"2"
"337"	"45,8142453101"	31.056979672	"2"
"338"	"46,6431192691"	31.4072190618	"2"
"339"	"52,1898883047"	39.3677964938	"2"
"340"	"51,1003173587"	38.095699984	"2"
"341"	"65,4008341477"	42.6140320392	"2"
"342"	"64,8520398267"	43.1337348404	"2"
"343"	"63,4038060118"	44.847493688	"2"
"344"	"65,3715488709"	42.6959713164	"2"
"345"	"61,9080397046"	53.1903520694	"2"
"346"	"71,8266529973"	65.6862303604	"2"
"347"	"72,6546231621"	66.8782776113	"2"
"348"	"76,8885781632"	72.1654720777	"2"
"349"	"43,7446196844"	71.2679610751	"2"
"350"	"39,0542484428"	83.1190207043	"2"
"351"	"39,9316746322"	79.9391880033	"2"
"352"	"39,762826107"	76.4059674459	"2"
"353"	"41,323383287"	80.2118685969	"2"
"354"	"41,7873232275"	83.9880779935	"2"
"355"	"39,7556490651"	79.6570966361	"2"
"356"	"40,7498793985"	77.204657286	"2"
"357"	"43,8568984983"	77.6098436482	"2"
"358"	"42,3678224956"	73.6382718294	"2"
"359"	"39,4629598364"	78.459973898	"2"
"360"	"44,5173339492"	70.3693498252	"2"
"361"	"41,6360929963"	76.2492229205	"2"
"362"	"45,4229321817"	69.0955016709	"2"
"363"	"42,0028562742"	97.8376147235	"2"
"364"	"76,1056290282"	95.3049805754	"2"
"365"	"79,2025626772"	92.4072156264	"2"
"366"	"84,8482440854"	95.4248045304	"2"
"367"	"81,5644753207"	83.7929072262	"2"
"368"	"85,4461864009"	83.0782938448	"2"
"369"	"80,3124913784"	76.5162389518	"2"
"370"	"80,7662322969"	79.8960656796	"2"
"371"	"82,6701124763"	81.711479845	"2"
"372"	"77,1636254828"	73.5237189623	"2"
"373"	"74,0707000309"	68.4795642895	"2"
"374"	"74,1142308687"	71.9263635185	"2"
"375"	"68,942075458"	62.635150577	"2"
"376"	"73,2420023309"	67.3532711288	"2"
"377"	"71,8670131631"	34.3291575887	"2"
"378"	"71,5691888532"	34.699218607	"2"
"379"	"71,4829096934"	34.6805169926	"2"
"380"	"78,1285220512"	23.139231835	"2"
"381"	"78,789825254"	25.5971933466	"2"
"382"	"77,7815467962"	23.4472144745	"2"
"383"	"48,5306293681"	34.1524500077	"2"
"384"	"65,5307814724"	42.2810847015	"2"
"385"	"70,1180341426"	36.4481847905	"2"
"386"	"70,4722626065"	36.0880530553	"2"
"387"	"76,7911300701"	28.0720081685	"2"
"388"	"72,4093545935"	33.0392569664	"2"
"389"	"76,271299815"	25.5695441452	"2"
"390"	"76,9532591384"	27.7706107405	"2"
"391"	"75,1077300904"	30.0169834157	"2"
"392"	"75,9692852004"	29.0388653753	"2"
"393"	"75,2838870131"	24.8747531721	"2"
"394"	"77,0522406385"	27.9056390894	"2"
"395"	"42,8267563374"	25.5569594065	"2"
"396"	"42,0806606852"	24.9465264454	"2"
"397"	"39,8783046498"	18.3249292157	"2"
"398"	"36,4754991726"	17.7189477884	"2"
"399"	"37,1030736419"	15.4456116477	"2"
"400"	"34,1489682077"	13.5238698677	"2"
"401"	"37,5794219113"	15.0158901333	"2"
"402"	"41,0643057894"	12.2144689321	"2"
"403"	"42,195266147"	20.9193721857	"2"
"404"	"36,6055782383"	15.748875885	"2"
"405"	"39,4311612098"	19.3238407541	"2"
"406"	"37,5620763361"	11.9284457044	"2"
"407"	"34,2381100444"	13.7131582305	"2"
"408"	"34,1409410386"	4.57766135024	"2"
"409"	"36,6592676972"	17.6819644553	"2"
"410"	"40,6437192795"	20.2408613716	"2"
"411"	"36,7924815919"	13.3921347304	"2"
"412"	"75,9483006427"	22.7447959146	"2"
"413"	"76,8406924717"	20.9185472197	"2"
"414"	"81,9504776395"	19.8745582085	"2"
"415"	"81,6437056853"	16.5917599845	"2"
"416"	"84,6102197758"	14.2477619017	"2"
"417"	"84,1028794336"	8.98065579006	"2"
"418"	"80,18002545"	19.0888441297	"2"
"419"	"80,5732729943"	8.36563890168	"2"
"420"	"79,0043268649"	10.6281977654	"2"
"421"	"40,0481864651"	24.2614879334	"2"
"422"	"34,7945935378"	13.9696834611	"2"
"423"	"79,221764441"	22.0945914837	"2"
"424"	"36,0308797708"	93.1217332374	"2"
"425"	"34,4995583102"	86.6099850511	"2"
"426"	"31,1068665551"	89.4616352367	"2"
"427"	"58,2136082599"	91.881891513	"3"
"428"	"58,1960536923"	92.2149886482	"3"
"429"	"58,7182307185"	90.310532087	"3"
"430"	"57,27837287"	89.9076067166	"3"
"431"	"58,082020494"	92.0081450101	"3"
"432"	"57,4894477748"	88.0852855629	"3"
"433"	"28,088741319"	63.5107944263	"3"
"434"	"28,0854682136"	63.5901969481	"3"
"435"	"28,087273053"	63.1232828116	"3"
"436"	"27,5780252176"	62.8210386566	"3"
"437"	"27,7799191139"	63.518147517	"3"
"438"	"28,5889998149"	63.0240805653	"3"
"439"	"28,7391414969"	62.7208638859	"3"
"440"	"27,0246032407"	62.9018588649	"3"
"441"	"28,8013366963"	63.389040388	"3"
"442"	"27,186463838"	63.5587296478	"3"
"443"	"29,2851466002"	63.3836058254	"3"
"444"	"39,4029453026"	51.1508571967	"3"
"445"	"28,8113284396"	61.3578540576	"3"
"446"	"34,3039579069"	56.5421259093	"3"
"447"	"29,6027609801"	60.157346722	"3"
"448"	"49,1161568603"	63.6600006211	"3"
"449"	"39,6175458263"	62.9251879574	"3"
"450"	"43,23308466"	63.1652187223	"3"
"451"	"64,8927879422"	65.8141767574	"3"
"452"	"62,4901493154"	74.5842896072	"3"
"453"	"68,9880844294"	63.232147305	"3"
"454"	"62,1056186306"	75.9908707599	"3"
"455"	"32,4618467439"	62.8819029189	"3"
"456"	"41,3272006535"	49.0702512739	"3"
"457"	"44,0071499323"	46.4496737846	"3"
"458"	"44,0740606888"	34.5532038906	"3"
"459"	"44,0013152386"	33.9042073544	"3"
"460"	"45,0063004454"	38.2990195507	"3"
"461"	"44,4438406096"	36.0190833012	"3"
"462"	"42,1787133986"	26.492119482	"3"
"463"	"44,0445656189"	35.6622382764	"3"
"464"	"41,6404540171"	27.0930954213	"3"
"465"	"41,9383300069"	24.9915229793	"3"
"466"	"44,0539275103"	33.5563924949	"3"
"467"	"39,2067193308"	51.5337156971	"3"
"468"	"28,7044492315"	61.7775254006	"3"
"469"	"31,7086628996"	58.837754374	"3"
"470"	"42,8117114739"	30.0204484197	"3"
"471"	"43,300614891"	31.5264261979	"3"
"472"	"40,3986329069"	16.3470083822	"3"
"473"	"40,4356915763"	20.2326706762	"3"
"474"	"40,9365466658"	16.9130048364	"3"
"475"	"39,6615736653"	15.609355577	"3"
"476"	"40,899259175"	20.7985289466	"3"
"477"	"41,9686168283"	26.4970725985	"3"
"478"	"40,3834058238"	21.3912255247	"3"
"479"	"56,5381264538"	32.4442454697	"3"
"480"	"52,9706912828"	29.0401966941	"3"
"481"	"54,6209525885"	30.3445244537	"3"
"482"	"65,0990443941"	27.2415575588	"3"
"483"	"63,0559909076"	29.7090956748	"3"
"484"	"70,9601362323"	41.2595012867	"3"
"485"	"69,8958192404"	43.4537592655	"3"
"486"	"70,5958928563"	41.9647438672	"3"
"487"	"69,6470214273"	44.044445022	"3"
"488"	"77,392982494"	63.3714590552	"3"
"489"	"64,4007871926"	67.4487184472	"3"
"490"	"63,8689598271"	70.2137388333	"3"
"491"	"56,5944213157"	86.9270062202	"3"
"492"	"56,5313372853"	87.4998110713	"3"
"493"	"59,6521583697"	87.8094615921	"3"
"494"	"56,6365087005"	85.637495556	"3"
"495"	"58,6722880025"	90.077160307	"3"
"496"	"58,2216127264"	90.4110187715	"3"
"497"	"57,9146644768"	89.9538027677	"3"
"498"	"55,3155090581"	80.2518606944	"3"
"499"	"54,5757285877"	77.5362884724	"3"
"500"	"54,4130936504"	78.2290865878	"3"
"501"	"55,0745059041"	79.8175464166	"3"
"502"	"29,4329605156"	60.8017765444	"3"
"503"	"29,4226860665"	63.0684648229	"3"
"504"	"29,0056141576"	63.3907513334	"3"
"505"	"58,4618385916"	90.2653263904	"3"
"506"	"57,997804739"	92.1599086113	"3"
"507"	"57,5494740761"	90.7489065581	"3"
"508"	"59,5299284566"	88.3272741451	"3"
"509"	"58,2493910631"	92.1296814778	"3"
"510"	"58,0245140126"	91.6944211685	"3"
"511"	"58,3821244904"	90.5534760692	"3"
"512"	"62,5667590405"	77.7439347591	"3"
"513"	"72,1758243064"	63.1289294176	"3"
"514"	"79,4727615693"	63.4086861199	"3"
"515"	"80,3577008812"	63.2954375404	"3"
"516"	"78,7572361375"	53.3326200111	"3"
"517"	"82,5402395934"	56.5410522935	"3"
"518"	"86,4358971909"	59.7927618087	"3"
"519"	"79,4886844186"	53.6516742641	"3"
"520"	"81,5304203188"	56.0253645659	"3"
"521"	"79,1867885665"	53.2347918468	"3"
"522"	"77,8990579454"	51.8224583343	"3"
"523"	"75,1307142075"	23.3724419733	"3"
"524"	"76,0580137544"	16.3837496882	"3"
"525"	"57,6146743876"	33.8224476502	"3"
"526"	"56,1713975295"	32.1179887719	"3"
"527"	"66,2878905956"	26.1171097453	"3"
"528"	"67,8817196169"	24.2360184109	"3"
"529"	"64,0280813016"	27.6726855125	"3"
"530"	"77,4966517463"	14.9485235577	"3"
"531"	"77,6346517616"	14.461853927	"3"
"532"	"77,8637264289"	14.6106776491	"3"
"533"	"77,3381581659"	15.890054658	"3"
"534"	"76,1804165329"	15.9125737458	"3"
"535"	"77,2526510945"	15.1515170246	"3"
"536"	"77,4133752817"	15.2219279762	"3"
"537"	"76,7318493982"	16.2168461441	"3"
"538"	"49,4711054118"	25.0630193062	"3"
"539"	"42,4765399431"	18.3384735636	"3"
"540"	"43,5951158622"	19.9942009773	"3"
"541"	"50,3399696652"	26.4713966117	"3"
"542"	"40,7489802561"	16.1821416622	"3"
"543"	"38,3865255803"	14.5802151464	"3"
"544"	"38,4040152085"	14.4519484496	"3"
"545"	"38,7642788913"	14.3655904744	"3"
"546"	"41,4701423265"	17.2780334445	"3"
"547"	"47,1554048146"	22.3779325323	"3"
"548"	"39,5825667453"	17.6484528361	"3"
"549"	"41,7402438167"	17.8293243101	"3"
"550"	"39,3118718889"	15.6407169743	"3"
"551"	"41,6798476925"	17.7459190133	"3"
"552"	"39,0874644519"	15.1223039378	"3"
"553"	"41,4815028637"	18.0474374446	"3"
"554"	"77,6060865492"	15.1628725383	"3"
"555"	"75,9826615205"	16.3069223786	"3"
"556"	"76,9457572424"	15.858478334	"3"
"557"	"77,5437200743"	15.253949149	"3"
"558"	"77,5847398447"	15.8300393854	"3"
"559"	"76,8223042562"	15.5951653195	"3"
"560"	"77,3485716647"	15.7745292395	"3"
"561"	"77,5731526867"	14.7806458332	"3"
"562"	"77,9726106776"	14.9556987461	"3"
"563"	"41,5289197586"	24.9164251896	"3"
"564"	"43,7225508034"	19.0773278036	"3"
"565"	"79,3260781751"	52.9003912897	"3"
"566"	"56,6639740815"	87.9401250067	"3"
"567"	"57,8217892319"	90.6931665489	"3"
"568"	"58,2431718991"	92.1043278652	"3"
"569"	"97,1530211913106"	98.5876091046851	"0"
"570"	"94,5747232510669"	69.2016932780763	"0"
"571"	"43,3846773763083"	98.4812412533629	"0"
"572"	"43,7540049949539"	62.5965729522918	"0"
"573"	"29,1620392644678"	53.0901993313916	"0"
"574"	"31,7747862101081"	58.5446489443608	"0"
"575"	"44,3861529090764"	62.7677199372159	"0"
"576"	"88,6257277590268"	56.9897948717654	"0"
"577"	"88,0557491951263"	32.9773200260472	"0"
"578"	"95,8002467695858"	77.7846341782011	"0"
"579"	"32,3149823191165"	94.5129717182811	"0"
"580"	"83,8555613879813"	52.3882197198337	"0"
"581"	"90,8070347255502"	50.8236239568498	"0"
"582"	"54,4300224360181"	43.4821138670865	"0"
"583"	"55,3406270074257"	34.4449271374596	"0"
"584"	"30,3067753141917"	20.8077296974976	"0"
"585"	"49,5790438741122"	72.5180273402268	"0"
"586"	"63,1360879446742"	6.21740361380206	"0"
"587"	"64,5255659746853"	33.8610295341073	"0"
"588"	"26,7304752825403"	22.7560182902768	"0"
"589"	"90,4098080704956"	13.3045082155118	"0"
"590"	"23,7605007114151"	33.0118494886147	"0"
"591"	"30,654535342856"	96.2457272200552	"0"
"592"	"91,9832989896859"	46.861303584616	"0"
"593"	"97,7724504244713"	85.8708768927001	"0"
"594"	"45,3560281817852"	33.0265529685542	"0"
"595"	"91,9405052357608"	45.936680742308	"0"
"596"	"29,5163003834685"	74.1420720419107	"0"
"597"	"94,8664049056964"	96.5790222249297	"0"
"598"	"49,1256575043028"	6.55267986694006	"0"
"599"	"39,1693989659464"	34.510818778917	"0"
"600"	"89,1557550410493"	37.0526538360477	"0"
"601"	"26,8825395938389"	7.54098615354865	"0"
"602"	"84,0019932387699"	63.3357549349013	"0"
"603"	"62,9485393583545"	51.2034770542765	"0"
"604"	"26,5084568917738"	89.9767279806368	"0"
"605"	"28,0040221288822"	22.9502016150655	"0"
"606"	"72,909490423939"	26.0574974829245	"0"
"607"	"84,6935985861919"	45.1553314837126	"0"
"608"	"62,7611473745681"	40.5051501456781	"0"
